#string_protein_1	string_protein_id_2	species_2	bitscore	start_1	end_1	start_2	end_2	size_2
362663.ECP_0429	362663.ECP_2168	362663	148.3	1	221	1	234	262
362663.ECP_0429	362663.ECP_2188	362663	75.9	1	205	13	225	506
362663.ECP_0429	362663.ECP_2221	362663	91.7	17	223	302	516	529
362663.ECP_0429	362663.ECP_2242	362663	62.8	1	187	1	184	205
362663.ECP_0429	362663.ECP_2253	362663	73.6	20	188	13	180	218
362663.ECP_0429	362663.ECP_2345	362663	97.8	2	205	6	228	257
362663.ECP_0429	362663.ECP_2445	362663	142.1	2	205	3	213	365
362663.ECP_0429	362663.ECP_2548	362663	92.0	14	205	275	480	503
362663.ECP_0429	362663.ECP_2643	362663	142.1	17	224	44	267	400
362663.ECP_0429	362663.ECP_2920	362663	57.0	29	185	30	199	225
362663.ECP_0429	362663.ECP_2921	362663	76.3	1	188	1	195	225
362663.ECP_0429	362663.ECP_3120	362663	80.5	2	205	10	222	269
362663.ECP_0429	362663.ECP_3282	362663	105.5	12	224	19	246	269
362663.ECP_0429	362663.ECP_3289	362663	110.5	2	205	4	213	241
362663.ECP_0429	362663.ECP_3345	362663	82.0	1	205	5	217	499
362663.ECP_0429	362663.ECP_3366	362663	102.8	1	205	12	223	252
362663.ECP_0429	362663.ECP_3443	362663	54.3	1	188	312	486	637
362663.ECP_0429	362663.ECP_3543	362663	123.2	2	205	4	211	356
362663.ECP_0429	362663.ECP_3547	362663	72.4	1	205	5	213	237
362663.ECP_0429	362663.ECP_3548	362663	83.2	1	205	5	230	255
362663.ECP_0429	362663.ECP_3556	362663	113.6	1	205	1	213	222
362663.ECP_0429	362663.ECP_3574	362663	66.6	12	205	14	217	254
362663.ECP_0429	362663.ECP_3575	362663	97.8	4	189	9	212	268
362663.ECP_0429	362663.ECP_3578	362663	92.0	3	192	14	212	911
362663.ECP_0429	362663.ECP_3605	362663	82.8	1	205	1	214	256
362663.ECP_0429	362663.ECP_3641	362663	102.4	16	212	37	243	334
362663.ECP_0429	362663.ECP_3642	362663	82.0	1	205	3	230	327
362663.ECP_0429	362663.ECP_3670	362663	73.6	1	205	16	230	525
362663.ECP_0429	362663.ECP_3822	362663	73.6	1	203	46	249	278
362663.ECP_0429	362663.ECP_3828	362663	87.4	17	205	485	679	707
362663.ECP_0429	362663.ECP_3924	362663	105.1	2	192	11	215	257
362663.ECP_0429	362663.ECP_3948	362663	74.3	15	205	266	471	501
362663.ECP_0429	362663.ECP_4253	362663	143.7	2	224	4	232	371
362663.ECP_0429	362663.ECP_4314	362663	115.5	1	205	3	215	234
362663.ECP_0429	362663.ECP_4315	362663	66.2	2	189	12	215	284
362663.ECP_0429	362663.ECP_4330	362663	63.9	14	205	276	485	510
362663.ECP_0429	362663.ECP_4339	362663	57.0	15	188	22	208	226
362663.ECP_0429	362663.ECP_4340	362663	79.0	3	205	10	222	252
362663.ECP_0429	362663.ECP_4348	362663	88.2	1	205	4	229	262
362663.ECP_0429	362663.ECP_4478	362663	77.8	1	205	9	221	500
362663.ECP_0429	362663.ECP_4554	362663	87.4	17	205	485	679	707
362663.ECP_0429	362663.ECP_4777	362663	66.2	1	188	323	500	555
362663.ECP_0430	362663.ECP_0430	362663	519.2	1	275	1	275	275
362663.ECP_0430	362663.ECP_0946	362663	138.7	34	271	21	253	263
362663.ECP_0430	362663.ECP_2169	362663	50.4	66	257	167	369	385
362663.ECP_0430	362663.ECP_2644	362663	76.6	77	265	142	329	354
362663.ECP_0431	362663.ECP_0431	362663	583.9	1	283	1	283	283
362663.ECP_0432	362663.ECP_0432	362663	688.7	1	335	1	335	335
362663.ECP_0433	362663.ECP_0379	362663	156.8	614	995	383	765	765
362663.ECP_0433	362663.ECP_0433	362663	1968.0	1	995	1	995	995
362663.ECP_0434	362663.ECP_0434	362663	427.2	1	207	1	207	207
362663.ECP_0435	362663.ECP_0435	362663	777.3	1	376	1	376	376
362663.ECP_0435	362663.ECP_1965	362663	62.4	45	212	63	224	504
362663.ECP_0435	362663.ECP_4396	362663	78.6	1	346	52	402	420
362663.ECP_0436	362663.ECP_0436	362663	825.1	1	406	1	406	406
362663.ECP_0436	362663.ECP_1492	362663	84.7	57	393	8	351	561
362663.ECP_0437	362663.ECP_0437	362663	751.5	1	364	1	364	364
362663.ECP_0438	362663.ECP_0438	362663	209.9	1	102	1	102	102
362663.ECP_0439	362663.ECP_0439	362663	143.3	1	70	1	70	70
362663.ECP_0440	362663.ECP_0094	362663	180.3	102	350	58	305	306
362663.ECP_0440	362663.ECP_0440	362663	748.8	1	364	1	364	364
362663.ECP_0441	362663.ECP_0441	362663	172.6	1	86	1	86	86
362663.ECP_0442	362663.ECP_0442	362663	964.9	1	471	1	471	471
362663.ECP_0443	362663.ECP_0443	362663	215.3	1	106	1	106	106
362663.ECP_0444	362663.ECP_0444	362663	761.5	1	371	1	371	371
362663.ECP_0444	362663.ECP_0848	362663	70.9	225	364	273	407	413
362663.ECP_0444	362663.ECP_1024	362663	96.7	212	369	284	442	455
362663.ECP_0444	362663.ECP_1339	362663	79.0	195	366	219	391	661
362663.ECP_0444	362663.ECP_1394	362663	97.8	199	366	239	406	410
362663.ECP_0444	362663.ECP_1506	362663	83.6	176	368	273	463	472
362663.ECP_0444	362663.ECP_1521	362663	77.0	206	367	125	284	296
362663.ECP_0444	362663.ECP_1733	362663	73.9	144	366	270	485	491
362663.ECP_0444	362663.ECP_1734	362663	75.5	213	367	347	496	496
362663.ECP_0444	362663.ECP_1741	362663	77.0	198	361	162	326	341
362663.ECP_0444	362663.ECP_1889	362663	91.7	162	366	350	557	564
362663.ECP_0444	362663.ECP_2107	362663	88.2	194	369	666	842	1105
362663.ECP_0444	362663.ECP_2605	362663	66.2	213	360	252	399	408
362663.ECP_0445	362663.ECP_0445	362663	546.6	1	269	1	269	269
362663.ECP_0446	362663.ECP_0446	362663	308.5	1	152	1	152	152
362663.ECP_0447	362663.ECP_0447	362663	356.3	1	174	1	174	174
362663.ECP_0447	362663.ECP_3476	362663	87.8	5	162	59	215	225
362663.ECP_0448	362663.ECP_0448	362663	129.8	1	63	1	63	63
362663.ECP_0449	362663.ECP_0449	362663	117.5	1	59	1	59	59
362663.ECP_0450	362663.ECP_0450	362663	451.4	1	225	1	225	225
362663.ECP_0451	362663.ECP_0451	362663	194.5	1	94	1	94	94
362663.ECP_0452	362663.ECP_0452	362663	184.9	1	93	1	93	93
362663.ECP_0453	362663.ECP_0453	362663	618.6	1	303	1	303	303
362663.ECP_0454	362663.ECP_0454	362663	620.9	1	302	1	302	302
362663.ECP_0454	362663.ECP_0688	362663	78.2	3	260	89	350	406
362663.ECP_0454	362663.ECP_1113	362663	204.1	1	298	1	299	303
362663.ECP_0454	362663.ECP_1538	362663	59.3	59	270	148	361	406
362663.ECP_0454	362663.ECP_3305	362663	68.2	3	298	4	285	291
362663.ECP_0454	362663.ECP_3755	362663	251.5	3	298	4	297	310
362663.ECP_0454	362663.ECP_4326	362663	73.2	4	301	10	298	309
362663.ECP_0455	362663.ECP_0455	362663	776.5	1	394	1	394	394
362663.ECP_0455	362663.ECP_1511	362663	101.7	5	281	15	292	396
362663.ECP_0455	362663.ECP_1602	362663	200.7	5	384	7	383	389
362663.ECP_0455	362663.ECP_3868	362663	91.7	5	342	77	417	451
362663.ECP_0456	362663.ECP_0456	362663	2087.4	1	1047	1	1047	1047
362663.ECP_0457	362663.ECP_0457	362663	844.3	1	408	1	408	408
362663.ECP_0458	362663.ECP_0458	362663	502.3	1	243	1	243	243
362663.ECP_0458	362663.ECP_0602	362663	112.8	4	197	2	193	227
362663.ECP_0458	362663.ECP_0712	362663	134.4	5	187	4	184	225
362663.ECP_0458	362663.ECP_0993	362663	99.8	1	211	1	214	230
362663.ECP_0458	362663.ECP_1125	362663	107.5	4	197	2	192	223
362663.ECP_0458	362663.ECP_1270	362663	53.1	25	113	40	117	216
362663.ECP_0458	362663.ECP_1552	362663	83.2	5	199	4	206	239
362663.ECP_0458	362663.ECP_1827	362663	72.4	4	124	7	128	129
362663.ECP_0458	362663.ECP_1902	362663	110.9	4	197	39	227	260
362663.ECP_0458	362663.ECP_2119	362663	143.3	4	196	12	202	240
362663.ECP_0458	362663.ECP_2233	362663	55.1	4	118	8	122	215
362663.ECP_0458	362663.ECP_2261	362663	55.5	5	108	827	928	949
362663.ECP_0458	362663.ECP_2263	362663	68.2	4	112	6	112	461
362663.ECP_0458	362663.ECP_2975	362663	60.1	5	122	11	126	418
362663.ECP_0458	362663.ECP_3112	362663	90.9	4	197	2	192	219
362663.ECP_0458	362663.ECP_3491	362663	127.1	4	197	6	203	239
362663.ECP_0458	362663.ECP_4079	362663	56.2	5	140	6	139	469
362663.ECP_0458	362663.ECP_4122	362663	132.9	4	197	3	199	232
362663.ECP_0458	362663.ECP_4217	362663	50.8	5	120	8	121	441
362663.ECP_0458	362663.ECP_4281	362663	55.8	5	122	10	126	452
362663.ECP_0458	362663.ECP_4356	362663	94.0	4	184	2	179	222
362663.ECP_0458	362663.ECP_4562	362663	128.3	3	197	5	202	239
362663.ECP_0458	362663.ECP_4784	362663	123.2	5	197	6	197	229
362663.ECP_0458	362663.ECP_4787	362663	111.7	5	206	6	212	238
362663.ECP_0459	362663.ECP_0459	362663	885.9	1	431	1	431	431
362663.ECP_0459	362663.ECP_0601	362663	131.0	171	422	224	479	480
362663.ECP_0459	362663.ECP_0991	362663	75.9	172	425	418	664	910
362663.ECP_0459	362663.ECP_1124	362663	60.1	163	420	219	475	486
362663.ECP_0459	362663.ECP_1553	362663	102.8	197	422	205	422	433
362663.ECP_0459	362663.ECP_1901	362663	60.1	207	424	239	451	452
362663.ECP_0459	362663.ECP_2118	362663	109.0	178	422	211	458	467
362663.ECP_0459	362663.ECP_2261	362663	84.0	198	422	464	689	949
362663.ECP_0459	362663.ECP_2262	362663	85.9	88	422	258	599	608
362663.ECP_0459	362663.ECP_2395	362663	93.2	203	422	711	935	1197
362663.ECP_0459	362663.ECP_2558	362663	67.8	200	422	267	490	496
362663.ECP_0459	362663.ECP_2767	362663	81.3	190	421	277	516	918
362663.ECP_0459	362663.ECP_2976	362663	50.1	208	421	453	657	669
362663.ECP_0459	362663.ECP_3113	362663	99.4	156	408	198	434	449
362663.ECP_0459	362663.ECP_3298	362663	87.0	175	431	242	513	778
362663.ECP_0459	362663.ECP_3490	362663	85.5	197	410	227	425	450
362663.ECP_0459	362663.ECP_4080	362663	70.9	106	424	15	348	349
362663.ECP_0459	362663.ECP_4121	362663	107.5	194	422	229	452	457
362663.ECP_0459	362663.ECP_4216	362663	84.3	209	429	243	455	458
362663.ECP_0459	362663.ECP_4355	362663	78.2	205	401	144	332	363
362663.ECP_0459	362663.ECP_4368	362663	65.5	92	422	216	535	543
362663.ECP_0459	362663.ECP_4785	362663	77.4	199	396	249	444	474
362663.ECP_0460	362663.ECP_0460	362663	862.8	1	439	1	439	439
362663.ECP_0461	362663.ECP_0112	362663	373.2	2	451	5	451	456
362663.ECP_0461	362663.ECP_0328	362663	60.8	22	340	18	329	436
362663.ECP_0461	362663.ECP_0461	362663	916.8	1	457	1	457	457
362663.ECP_0461	362663.ECP_0551	362663	65.9	5	449	7	428	430
362663.ECP_0461	362663.ECP_0607	362663	384.4	2	449	14	458	460
362663.ECP_0461	362663.ECP_0710	362663	54.7	45	396	42	390	439
362663.ECP_0461	362663.ECP_1454	362663	315.1	4	453	23	475	499
362663.ECP_0461	362663.ECP_2057	362663	79.0	3	236	10	238	283
362663.ECP_0461	362663.ECP_2196	362663	247.3	7	397	13	413	489
362663.ECP_0461	362663.ECP_2626	362663	243.8	2	429	5	431	466
362663.ECP_0461	362663.ECP_3987	362663	376.7	2	439	3	441	461
362663.ECP_0461	362663.ECP_4358	362663	60.8	16	354	15	345	445
362663.ECP_0461	362663.ECP_4376	362663	52.8	22	331	18	319	444
362663.ECP_0461	362663.ECP_4462	362663	350.9	3	448	15	464	470
362663.ECP_0462	362663.ECP_0462	362663	1255.7	1	605	1	605	605
362663.ECP_0462	362663.ECP_3675	362663	79.3	127	556	192	670	676
362663.ECP_0462	362663.ECP_4488	362663	79.7	178	344	30	207	551
362663.ECP_0463	362663.ECP_0463	362663	396.4	1	193	1	193	193
362663.ECP_0464	362663.ECP_0464	362663	729.9	1	356	1	356	356
362663.ECP_0465	362663.ECP_0465	362663	778.9	1	375	1	375	375
362663.ECP_0466	362663.ECP_0466	362663	223.0	1	110	1	110	110
362663.ECP_0467	362663.ECP_0467	362663	1237.6	1	615	1	615	615
362663.ECP_0468	362663.ECP_0468	362663	689.5	1	338	1	338	338
362663.ECP_0469	362663.ECP_0469	362663	245.4	1	115	1	115	115
362663.ECP_0470	362663.ECP_0470	362663	599.4	1	294	1	294	294
362663.ECP_0470	362663.ECP_4150	362663	343.6	39	294	1	252	252
362663.ECP_0471	362663.ECP_0471	362663	363.2	1	179	1	179	179
362663.ECP_0472	362663.ECP_0472	362663	303.5	1	149	1	149	149
362663.ECP_0473	362663.ECP_0473	362663	740.7	1	361	1	361	361
362663.ECP_0473	362663.ECP_2561	362663	57.4	1	152	23	178	178
362663.ECP_0474	362663.ECP_0474	362663	308.1	1	156	1	156	156
362663.ECP_0475	362663.ECP_0475	362663	282.3	1	139	1	139	139
362663.ECP_0476	362663.ECP_0476	362663	655.2	1	325	1	325	325
362663.ECP_0477	362663.ECP_0477	362663	345.5	1	172	1	172	172
362663.ECP_0478	362663.ECP_0213	362663	50.1	44	306	22	242	267
362663.ECP_0478	362663.ECP_0365	362663	161.0	1	313	1	311	329
362663.ECP_0478	362663.ECP_0366	362663	69.3	38	313	27	259	283
362663.ECP_0478	362663.ECP_0478	362663	670.2	1	324	1	324	324
362663.ECP_0478	362663.ECP_1411	362663	95.5	13	312	13	281	286
362663.ECP_0478	362663.ECP_1593	362663	59.7	33	307	27	284	298
362663.ECP_0478	362663.ECP_1719	362663	141.0	1	303	1	309	326
362663.ECP_0478	362663.ECP_1729	362663	99.0	26	319	15	275	284
362663.ECP_0478	362663.ECP_2847	362663	122.1	1	316	1	339	346
362663.ECP_0478	362663.ECP_3086	362663	156.4	1	312	13	329	346
362663.ECP_0478	362663.ECP_3095	362663	55.1	26	311	16	257	275
362663.ECP_0479	362663.ECP_0479	362663	1278.5	1	620	1	620	620
362663.ECP_0479	362663.ECP_2477	362663	52.8	276	535	288	580	667
362663.ECP_0479	362663.ECP_2929	362663	57.4	350	554	391	601	663
362663.ECP_0480	362663.ECP_0480	362663	605.9	1	299	1	299	299
362663.ECP_0480	362663.ECP_3274	362663	94.7	43	290	43	275	323
362663.ECP_0481	362663.ECP_0481	362663	159.5	1	80	1	80	80
362663.ECP_0484	362663.ECP_0484	362663	299.7	1	146	1	146	146
362663.ECP_0485	362663.ECP_0485	362663	626.3	1	303	1	303	303
362663.ECP_0486	362663.ECP_0486	362663	327.0	1	163	1	163	163
362663.ECP_0487	362663.ECP_0487	362663	907.9	1	454	1	454	454
362663.ECP_0487	362663.ECP_1057	362663	63.2	26	361	24	356	402
362663.ECP_0487	362663.ECP_1607	362663	58.9	6	200	1	194	403
362663.ECP_0487	362663.ECP_2223	362663	70.1	20	357	12	360	396
362663.ECP_0487	362663.ECP_3879	362663	57.8	47	390	44	391	396
362663.ECP_0487	362663.ECP_3910	362663	63.2	44	189	34	181	391
362663.ECP_0488	362663.ECP_0488	362663	589.3	1	296	1	296	296
362663.ECP_0489	362663.ECP_0489	362663	214.5	1	109	1	109	109
362663.ECP_0490	362663.ECP_0490	362663	413.3	1	204	1	204	204
362663.ECP_0491	362663.ECP_0491	362663	1338.2	1	663	1	663	663
362663.ECP_0492	362663.ECP_0492	362663	653.7	1	315	1	315	315
362663.ECP_0493	362663.ECP_0493	362663	969.9	1	491	1	491	491
362663.ECP_0493	362663.ECP_1938	362663	73.2	29	390	70	437	462
362663.ECP_0494	362663.ECP_0494	362663	469.9	1	226	1	226	226
362663.ECP_0495	362663.ECP_0495	362663	218.8	1	105	1	105	105
362663.ECP_0496	362663.ECP_0496	362663	129.4	1	62	1	62	62
362663.ECP_0497	362663.ECP_0497	362663	861.3	1	432	1	432	432
362663.ECP_0498	362663.ECP_0498	362663	431.0	1	207	1	207	207
362663.ECP_0499	362663.ECP_0499	362663	860.9	1	424	1	424	424
362663.ECP_0499	362663.ECP_4140	362663	124.4	66	386	5	409	443
362663.ECP_0500	362663.ECP_0500	362663	1596.3	1	784	1	784	784
362663.ECP_0501	362663.ECP_0501	362663	174.9	1	90	1	90	90
362663.ECP_0501	362663.ECP_0923	362663	71.6	1	90	1	91	94
362663.ECP_0501	362663.ECP_1660	362663	63.2	6	89	12	91	99
362663.ECP_0501	362663.ECP_4213	362663	123.2	1	89	1	89	90
362663.ECP_0502	362663.ECP_0502	362663	1262.3	1	623	1	623	623
362663.ECP_0503	362663.ECP_0503	362663	245.7	1	123	1	123	123
362663.ECP_0504	362663.ECP_0504	362663	273.9	1	132	1	132	132
362663.ECP_0504	362663.ECP_0747	362663	52.8	18	129	23	134	134
362663.ECP_0505	362663.ECP_0505	362663	481.9	1	231	1	231	231
362663.ECP_0506	362663.ECP_0072	362663	183.0	9	565	9	550	551
362663.ECP_0506	362663.ECP_0506	362663	1162.5	1	566	1	566	566
362663.ECP_0506	362663.ECP_3646	362663	55.1	151	460	60	432	535
362663.ECP_0507	362663.ECP_0507	362663	562.4	1	272	1	272	272
362663.ECP_0507	362663.ECP_0778	362663	84.7	3	267	4	271	272
362663.ECP_0507	362663.ECP_3898	362663	75.9	3	237	4	245	270
362663.ECP_0507	362663.ECP_4020	362663	178.3	1	258	1	260	266
362663.ECP_0508	362663.ECP_0508	362663	374.0	1	180	1	180	180
362663.ECP_0508	362663.ECP_0903	362663	97.1	30	180	29	179	181
362663.ECP_0509	362663.ECP_0069	362663	82.0	362	557	25	217	232
362663.ECP_0509	362663.ECP_0135	362663	63.5	343	590	13	270	308
362663.ECP_0509	362663.ECP_0161	362663	58.5	339	557	14	235	265
362663.ECP_0509	362663.ECP_0209	362663	77.8	351	586	20	272	343
362663.ECP_0509	362663.ECP_0285	362663	110.2	341	508	175	342	351
362663.ECP_0509	362663.ECP_0305	362663	199.1	57	567	90	604	1245
362663.ECP_0509	362663.ECP_0429	362663	81.6	349	546	14	205	255
362663.ECP_0509	362663.ECP_0509	362663	1207.2	1	590	1	590	590
362663.ECP_0509	362663.ECP_0510	362663	201.1	1	586	1	588	593
362663.ECP_0509	362663.ECP_0556	362663	92.4	348	544	19	211	225
362663.ECP_0509	362663.ECP_0675	362663	77.4	352	555	17	221	241
362663.ECP_0509	362663.ECP_0777	362663	57.0	341	557	3	216	352
362663.ECP_0509	362663.ECP_0808	362663	63.9	333	561	326	550	578
362663.ECP_0509	362663.ECP_0823	362663	91.7	352	553	17	219	240
362663.ECP_0509	362663.ECP_0842	362663	64.7	351	515	328	495	612
362663.ECP_0509	362663.ECP_0869	362663	70.9	337	560	47	267	404
362663.ECP_0509	362663.ECP_0879	362663	67.8	349	553	15	224	242
362663.ECP_0509	362663.ECP_0894	362663	77.0	343	550	13	223	648
362663.ECP_0509	362663.ECP_0900	362663	172.9	3	572	4	571	573
362663.ECP_0509	362663.ECP_0901	362663	133.3	355	574	369	587	588
362663.ECP_0509	362663.ECP_0925	362663	257.3	11	571	13	579	582
362663.ECP_0509	362663.ECP_0945	362663	68.9	352	549	27	212	255
362663.ECP_0509	362663.ECP_0954	362663	51.2	347	556	14	240	635
362663.ECP_0509	362663.ECP_1110	362663	77.8	346	548	2	204	214
362663.ECP_0509	362663.ECP_1120	362663	77.0	355	560	36	238	378
362663.ECP_0509	362663.ECP_1191	362663	78.2	349	555	20	226	275
362663.ECP_0509	362663.ECP_1242	362663	55.8	339	529	6	197	252
362663.ECP_0509	362663.ECP_1293	362663	58.2	342	570	29	264	337
362663.ECP_0509	362663.ECP_1294	362663	78.6	342	557	30	252	334
362663.ECP_0509	362663.ECP_1348	362663	69.3	351	553	29	234	268
362663.ECP_0509	362663.ECP_1443	362663	81.3	348	550	16	215	337
362663.ECP_0509	362663.ECP_1492	362663	63.2	352	530	383	544	561
362663.ECP_0509	362663.ECP_1702	362663	63.5	352	518	17	175	217
362663.ECP_0509	362663.ECP_1802	362663	56.2	352	572	20	236	251
362663.ECP_0509	362663.ECP_1841	362663	58.5	343	584	16	272	504
362663.ECP_0509	362663.ECP_1939	362663	202.6	55	571	65	580	600
362663.ECP_0509	362663.ECP_1940	362663	213.0	72	574	45	553	570
362663.ECP_0509	362663.ECP_2168	362663	88.2	351	553	16	218	262
362663.ECP_0509	362663.ECP_2188	362663	53.5	333	549	262	485	506
362663.ECP_0509	362663.ECP_2221	362663	80.1	268	552	202	508	529
362663.ECP_0509	362663.ECP_2242	362663	50.8	340	530	5	185	205
362663.ECP_0509	362663.ECP_2253	362663	58.2	355	550	13	200	218
362663.ECP_0509	362663.ECP_2345	362663	78.6	348	557	17	239	257
362663.ECP_0509	362663.ECP_2445	362663	91.3	352	557	18	224	365
362663.ECP_0509	362663.ECP_2548	362663	55.5	349	557	275	495	503
362663.ECP_0509	362663.ECP_2643	362663	82.0	351	569	43	266	400
362663.ECP_0509	362663.ECP_2920	362663	71.6	337	546	2	219	225
362663.ECP_0509	362663.ECP_3120	362663	55.8	352	556	25	232	269
362663.ECP_0509	362663.ECP_3282	362663	58.9	337	529	9	203	269
362663.ECP_0509	362663.ECP_3289	362663	61.2	352	565	19	232	241
362663.ECP_0509	362663.ECP_3366	362663	81.6	352	557	28	234	252
362663.ECP_0509	362663.ECP_3443	362663	50.4	352	504	17	181	637
362663.ECP_0509	362663.ECP_3543	362663	62.0	362	560	30	225	356
362663.ECP_0509	362663.ECP_3547	362663	66.2	351	557	20	224	237
362663.ECP_0509	362663.ECP_3556	362663	71.2	351	548	17	215	222
362663.ECP_0509	362663.ECP_3575	362663	74.7	342	550	18	232	268
362663.ECP_0509	362663.ECP_3578	362663	70.1	329	562	270	499	911
362663.ECP_0509	362663.ECP_3605	362663	67.4	353	561	18	230	256
362663.ECP_0509	362663.ECP_3641	362663	74.7	351	588	37	277	334
362663.ECP_0509	362663.ECP_3642	362663	53.9	351	553	22	237	327
362663.ECP_0509	362663.ECP_3670	362663	62.0	351	551	31	236	525
362663.ECP_0509	362663.ECP_3828	362663	231.5	14	571	149	705	707
362663.ECP_0509	362663.ECP_3924	362663	84.0	337	557	11	239	257
362663.ECP_0509	362663.ECP_3948	362663	63.2	350	560	266	485	501
362663.ECP_0509	362663.ECP_4253	362663	76.3	353	557	20	221	371
362663.ECP_0509	362663.ECP_4314	362663	57.0	335	517	4	183	234
362663.ECP_0509	362663.ECP_4330	362663	54.7	351	534	20	208	510
362663.ECP_0509	362663.ECP_4340	362663	62.8	337	557	6	233	252
362663.ECP_0509	362663.ECP_4348	362663	71.6	337	572	5	257	262
362663.ECP_0509	362663.ECP_4478	362663	52.0	351	559	24	234	500
362663.ECP_0509	362663.ECP_4554	362663	231.5	14	571	149	705	707
362663.ECP_0509	362663.ECP_4777	362663	50.4	352	561	22	251	555
362663.ECP_0510	362663.ECP_0069	362663	55.8	361	565	19	221	232
362663.ECP_0510	362663.ECP_0135	362663	57.8	357	563	21	225	308
362663.ECP_0510	362663.ECP_0161	362663	84.7	327	565	2	239	265
362663.ECP_0510	362663.ECP_0209	362663	90.1	357	557	21	224	343
362663.ECP_0510	362663.ECP_0285	362663	95.9	281	519	106	349	351
362663.ECP_0510	362663.ECP_0305	362663	204.5	27	573	677	1225	1245
362663.ECP_0510	362663.ECP_0429	362663	68.9	345	547	3	201	255
362663.ECP_0510	362663.ECP_0509	362663	201.1	1	588	1	586	590
362663.ECP_0510	362663.ECP_0510	362663	1195.3	1	593	1	593	593
362663.ECP_0510	362663.ECP_0556	362663	78.6	353	554	19	219	225
362663.ECP_0510	362663.ECP_0620	362663	57.4	356	565	22	235	271
362663.ECP_0510	362663.ECP_0675	362663	57.4	356	554	16	216	241
362663.ECP_0510	362663.ECP_0771	362663	53.5	287	542	201	480	490
362663.ECP_0510	362663.ECP_0777	362663	58.5	360	551	17	206	352
362663.ECP_0510	362663.ECP_0808	362663	58.2	359	563	347	548	578
362663.ECP_0510	362663.ECP_0823	362663	68.9	341	562	2	224	240
362663.ECP_0510	362663.ECP_0842	362663	65.1	343	564	4	248	612
362663.ECP_0510	362663.ECP_0869	362663	72.0	341	561	47	264	404
362663.ECP_0510	362663.ECP_0879	362663	52.4	357	572	18	239	242
362663.ECP_0510	362663.ECP_0894	362663	65.5	356	553	23	222	648
362663.ECP_0510	362663.ECP_0900	362663	142.9	59	573	43	571	573
362663.ECP_0510	362663.ECP_0901	362663	175.6	80	568	87	577	588
362663.ECP_0510	362663.ECP_0925	362663	260.4	2	577	11	581	582
362663.ECP_0510	362663.ECP_0945	362663	82.8	336	551	6	210	255
362663.ECP_0510	362663.ECP_1110	362663	75.9	356	535	5	187	214
362663.ECP_0510	362663.ECP_1120	362663	70.9	352	561	28	235	378
362663.ECP_0510	362663.ECP_1191	362663	82.0	336	565	2	232	275
362663.ECP_0510	362663.ECP_1242	362663	75.1	341	556	4	221	252
362663.ECP_0510	362663.ECP_1293	362663	62.4	346	557	27	252	337
362663.ECP_0510	362663.ECP_1294	362663	66.6	370	561	53	252	334
362663.ECP_0510	362663.ECP_1348	362663	84.3	341	564	6	241	268
362663.ECP_0510	362663.ECP_1349	362663	57.0	341	563	4	248	330
362663.ECP_0510	362663.ECP_1443	362663	68.9	341	555	5	215	337
362663.ECP_0510	362663.ECP_1492	362663	66.6	316	524	343	531	561
362663.ECP_0510	362663.ECP_1629	362663	61.6	352	569	12	243	248
362663.ECP_0510	362663.ECP_1702	362663	53.1	343	545	4	204	217
362663.ECP_0510	362663.ECP_1802	362663	56.2	340	547	6	194	251
362663.ECP_0510	362663.ECP_1841	362663	64.3	357	560	23	229	504
362663.ECP_0510	362663.ECP_1939	362663	192.2	82	593	95	593	600
362663.ECP_0510	362663.ECP_1940	362663	185.7	100	573	69	550	570
362663.ECP_0510	362663.ECP_2168	362663	57.8	341	557	2	218	262
362663.ECP_0510	362663.ECP_2188	362663	77.0	357	553	29	228	506
362663.ECP_0510	362663.ECP_2221	362663	74.7	352	569	297	521	529
362663.ECP_0510	362663.ECP_2253	362663	73.9	351	554	4	200	218
362663.ECP_0510	362663.ECP_2345	362663	61.2	353	563	17	241	257
362663.ECP_0510	362663.ECP_2445	362663	84.0	340	555	2	217	365
362663.ECP_0510	362663.ECP_2548	362663	62.4	355	538	24	212	503
362663.ECP_0510	362663.ECP_2643	362663	76.3	354	562	41	253	400
362663.ECP_0510	362663.ECP_2920	362663	50.4	370	537	31	204	225
362663.ECP_0510	362663.ECP_2921	362663	52.4	356	533	18	194	225
362663.ECP_0510	362663.ECP_3120	362663	70.1	343	558	12	233	269
362663.ECP_0510	362663.ECP_3282	362663	60.8	341	563	9	234	269
362663.ECP_0510	362663.ECP_3289	362663	70.5	340	562	3	225	241
362663.ECP_0510	362663.ECP_3345	362663	69.7	357	560	21	225	499
362663.ECP_0510	362663.ECP_3366	362663	72.0	338	563	10	236	252
362663.ECP_0510	362663.ECP_3443	362663	53.1	341	533	313	485	637
362663.ECP_0510	362663.ECP_3543	362663	66.2	341	557	4	218	356
362663.ECP_0510	362663.ECP_3547	362663	58.2	357	565	21	228	237
362663.ECP_0510	362663.ECP_3548	362663	76.6	355	561	19	241	255
362663.ECP_0510	362663.ECP_3556	362663	68.6	341	515	2	176	222
362663.ECP_0510	362663.ECP_3574	362663	62.4	341	583	5	254	254
362663.ECP_0510	362663.ECP_3575	362663	81.6	356	554	27	232	268
362663.ECP_0510	362663.ECP_3578	362663	67.4	355	566	290	499	911
362663.ECP_0510	362663.ECP_3605	362663	66.6	359	566	19	230	256
