#string_protein_id	preferred_name	protein_size	annotation
1034809.SLUG_06040	narT	384	annotation not available
1034809.SLUG_06050	CCB53052.1	142	annotation not available
1034809.SLUG_06060	CCB53053.1	119	annotation not available
1034809.SLUG_06070	gltT	425	Belongs to the dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23) family
1034809.SLUG_06090	SLUG_06090	114	annotation not available
1034809.SLUG_06100	CCB53057.1	142	annotation not available
1034809.SLUG_06110	CCB53058.1	701	annotation not available
1034809.SLUG_06120	CCB53059.1	127	annotation not available
1034809.SLUG_06130	scrA	480	annotation not available
1034809.SLUG_06140	CCB53061.1	313	annotation not available
1034809.SLUG_06150	CCB53062.1	204	annotation not available
1034809.SLUG_06160	CCB53064.1	425	annotation not available
1034809.SLUG_06170	mepR	142	annotation not available
1034809.SLUG_06180	mepA	452	annotation not available
1034809.SLUG_06190	CCB53068.1	148	annotation not available
1034809.SLUG_06200	CCB53069.1	210	annotation not available
1034809.SLUG_06210	CCB53070.1	257	annotation not available
1034809.SLUG_06220	CCB53071.1	255	annotation not available
1034809.SLUG_06230	CCB53073.1	319	annotation not available
1034809.SLUG_06240	CCB53074.1	520	annotation not available
1034809.SLUG_06250	ureD	285	Required for maturation of urease via the functional incorporation of the urease nickel metallocenter
1034809.SLUG_06260	ureG	204	Facilitates the functional incorporation of the urease nickel metallocenter. This process requires GTP hydrolysis, probably effectuated by UreG
1034809.SLUG_06270	ureF	229	Required for maturation of urease via the functional incorporation of the urease nickel metallocenter
1034809.SLUG_06280	ureE	150	Involved in urease metallocenter assembly. Binds nickel. Probably functions as a nickel donor during metallocenter assembly. 
1034809.SLUG_06290	ureC	571	annotation not available
1034809.SLUG_06300	ureB	135	Belongs to the urease beta subunit family. 
1034809.SLUG_06310	ureA	100	Belongs to the urease gamma subunit family. 
1034809.SLUG_06320	yut	298	annotation not available
1034809.SLUG_06330	CCB53084.1	195	annotation not available
1034809.SLUG_06340	CCB53085.1	591	annotation not available
1034809.SLUG_06350	thiC	578	Catalyzes the synthesis of the hydroxymethylpyrimidine phosphate (HMP-P) moiety of thiamine from aminoimidazole ribotide (AIR) in a radical S-adenosyl-L-methionine (SAM)-dependent reaction. 
1034809.SLUG_06360	rarD	301	annotation not available
1034809.SLUG_06370	CCB53089.1	214	annotation not available
1034809.SLUG_06380	CCB53090.1	75	annotation not available
1034809.SLUG_06390	CCB53091.1	210	annotation not available
1034809.SLUG_06400	CCB53092.1	537	annotation not available
1034809.SLUG_06410	CCB53093.1	125	Uncharacterized protein; Possible C-terminus of a larger CDS
1034809.SLUG_06420	CCB53094.1	70	Uncharacterized protein; Possible N-terminus of a larger CDS
1034809.SLUG_06430	CCB53095.1	42	Uncharacterized protein; Doubtful CDS
1034809.SLUG_06440	CCB53096.1	211	annotation not available
1034809.SLUG_06450	CCB53097.1	382	annotation not available
1034809.SLUG_06460	CCB53098.1	283	Belongs to the LysR transcriptional regulatory family. 
1034809.SLUG_06470	CCB53099.1	176	annotation not available
1034809.SLUG_06480	CCB53100.1	203	annotation not available
1034809.SLUG_06490	CCB53101.1	261	annotation not available
1034809.SLUG_06500	CCB53102.1	270	annotation not available
1034809.SLUG_06510	CCB53103.1	391	annotation not available
1034809.SLUG_06520	CCB53104.1	518	annotation not available
1034809.SLUG_06530	CCB53105.1	928	annotation not available
1034809.SLUG_06540	CCB53106.1	375	annotation not available
1034809.SLUG_06550	CCB53107.1	112	annotation not available
1034809.SLUG_06560	CCB53108.1	277	annotation not available
1034809.SLUG_06570	CCB53109.1	134	annotation not available
1034809.SLUG_06580	CCB53110.1	343	annotation not available
1034809.SLUG_06590	CCB53111.1	133	annotation not available
1034809.SLUG_06600	CCB53112.1	64	annotation not available
1034809.SLUG_06610	CCB53113.1	330	annotation not available
1034809.SLUG_06620	CCB53114.1	284	annotation not available
1034809.SLUG_06630	efeB	409	Involved in the recovery of exogenous heme iron. Extracts iron from heme while preserving the tetrapyrrol ring intact. 
1034809.SLUG_06640	CCB53116.1	576	annotation not available
1034809.SLUG_06650	tatC	248	Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin- arginine motif in their signal peptide across membranes. 
1034809.SLUG_06660	tatA	74	Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin- arginine motif in their signal peptide across membranes. TatA could form the protein-conducting channel of the Tat system. 
1034809.SLUG_06670	CCB53119.1	175	annotation not available
1034809.SLUG_06680	CCB53120.1	213	annotation not available
1034809.SLUG_06690	CCB53121.1	566	annotation not available
1034809.SLUG_06700	lldP2	533	Transports L-lactate across the membrane. Can also transport D-lactate and glycolate
1034809.SLUG_06710	CCB53123.1	382	annotation not available
1034809.SLUG_06720	mqo1	492	annotation not available
1034809.SLUG_06730	CCB53125.1	152	annotation not available
1034809.SLUG_06740	CCB53126.1	146	annotation not available
1034809.SLUG_06750	CCB53127.1	456	annotation not available
1034809.SLUG_06760	CCB53128.1	224	annotation not available
1034809.SLUG_06770	CCB53129.1	353	annotation not available
1034809.SLUG_06780	CCB53130.1	222	annotation not available
1034809.SLUG_06790	CCB53131.1	317	annotation not available
1034809.SLUG_06800	tcaR	153	annotation not available
1034809.SLUG_06810	tcaA	457	annotation not available
1034809.SLUG_06820	tcaB	401	annotation not available
1034809.SLUG_06830	CCB53135.1	183	annotation not available
1034809.SLUG_06840	CCB53136.1	212	annotation not available
1034809.SLUG_06850	CCB53137.1	654	Belongs to the major facilitator superfamily. 
1034809.SLUG_06860	CCB53138.1	235	annotation not available
1034809.SLUG_06870	CCB53139.1	302	annotation not available
1034809.SLUG_06880	CCB53140.1	129	annotation not available
1034809.SLUG_06890	CCB53141.1	155	annotation not available
1034809.SLUG_06900	corA	315	Mediates influx of magnesium ions. 
1034809.SLUG_06910	fni	350	Involved in the biosynthesis of isoprenoids. Catalyzes the 1,3-allylic rearrangement of the homoallylic substrate isopentenyl (IPP) to its allylic isomer, dimethylallyl diphosphate (DMAPP). 
1034809.SLUG_06920	CCB53144.1	202	Belongs to the DNA glycosylase MPG family. 
1034809.SLUG_06930	CCB53145.1	71	annotation not available
1034809.SLUG_06940	CCB53146.1	336	annotation not available
1034809.SLUG_06950	CCB53147.1	217	annotation not available
1034809.SLUG_06960	rpiA	244	Catalyzes the reversible conversion of ribose-5-phosphate to ribulose 5-phosphate
1034809.SLUG_06970	CCB53149.1	400	annotation not available
1034809.SLUG_06980	CCB53150.1	53	Uncharacterized protein; Possible remnant
1034809.SLUG_06990	CCB53151.1	376	annotation not available
1034809.SLUG_07000	CCB53152.1	293	annotation not available
1034809.SLUG_07010	CCB53153.1	194	annotation not available
1034809.SLUG_07020	CCB53154.1	431	annotation not available
1034809.SLUG_07030	CCB53155.1	169	annotation not available
1034809.SLUG_07040	CCB53156.1	253	annotation not available
1034809.SLUG_07050	CCB53157.1	531	annotation not available
1034809.SLUG_07060	CCB53158.1	176	annotation not available
1034809.SLUG_07070	CCB53159.1	215	annotation not available
1034809.SLUG_07080	CCB53160.1	63	annotation not available
1034809.SLUG_07090	CCB53161.1	62	annotation not available
1034809.SLUG_07100	CCB53162.1	118	annotation not available
1034809.SLUG_07110	CCB53163.1	459	annotation not available
1034809.SLUG_07120	CCB53164.1	290	annotation not available
1034809.SLUG_07130	CCB53165.1	462	annotation not available
1034809.SLUG_07140	murQ	295	Specifically catalyzes the cleavage of the D-lactyl ether substituent of MurNAc 6-phosphate, producing GlcNAc 6-phosphate and D- lactate
1034809.SLUG_07150	CCB53167.1	349	annotation not available
1034809.SLUG_07160	CCB53168.1	229	annotation not available
1034809.SLUG_07170	CCB53169.1	258	annotation not available
1034809.SLUG_07180	CCB53170.1	308	annotation not available
1034809.SLUG_07190	CCB53171.1	984	annotation not available
1034809.SLUG_07200	CCB53172.1	156	annotation not available
1034809.SLUG_07210	CCB53173.1	77	annotation not available
1034809.SLUG_07220	CCB53174.1	257	annotation not available
1034809.SLUG_07240	SLUG_07240	318	Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family
1034809.SLUG_07250	CCB53177.1	104	annotation not available
1034809.SLUG_07260	CCB53178.1	110	annotation not available
1034809.SLUG_07270	CCB53179.1	178	annotation not available
1034809.SLUG_07280	CCB53180.1	140	annotation not available
1034809.SLUG_07290	CCB53181.1	357	annotation not available
1034809.SLUG_07300	nhaC	463	annotation not available
1034809.SLUG_07310	CCB53183.1	245	annotation not available
1034809.SLUG_07320	CCB53184.1	658	annotation not available
1034809.SLUG_07330	CCB53185.1	246	annotation not available
1034809.SLUG_07340	CCB53186.1	106	annotation not available
1034809.SLUG_07350	sarR	113	annotation not available
1034809.SLUG_07360	clpL	697	Belongs to the ClpA/ClpB family. 
1034809.SLUG_07370	CCB53189.1	381	annotation not available
1034809.SLUG_07380	CCB53190.1	37	Doubtful CDS
1034809.SLUG_07390	fhuD	302	annotation not available
1034809.SLUG_07400	CCB53192.1	313	annotation not available
1034809.SLUG_07410	CCB53193.1	181	annotation not available
1034809.SLUG_07420	CCB53194.1	254	annotation not available
1034809.SLUG_07430	fdhD	262	Required for formate dehydrogenase (FDH) activity. Acts as a sulfur carrier protein that transfers sulfur from IscS to the molybdenum cofactor prior to its insertion into FDH. 
1034809.SLUG_07440	modA	258	annotation not available
1034809.SLUG_07450	modB	223	Part of the binding-protein-dependent transport system for molybdenum; probably responsible for the translocation of the substrate across the membrane
1034809.SLUG_07460	modC	201	annotation not available
1034809.SLUG_07470	moeB	334	annotation not available
1034809.SLUG_07480	moaB	168	May be involved in the biosynthesis of molybdopterin. 
1034809.SLUG_07490	moaC	161	Catalyzes the conversion of (8S)-3',8-cyclo-7,8- dihydroguanosine 5'-triphosphate to cyclic pyranopterin monophosphate (cPMP)
1034809.SLUG_07500	moeA	419	Catalyzes the insertion of molybdate into adenylated molybdopterin with the concomitant release of AMP. 
1034809.SLUG_07510	mobB	156	annotation not available
1034809.SLUG_07520	moaE	150	annotation not available
1034809.SLUG_07530	moaD	77	annotation not available
1034809.SLUG_07540	mobA	200	Transfers a GMP moiety from GTP to Mo-molybdopterin (Mo-MPT) cofactor (Moco or molybdenum cofactor) to form Mo-molybdopterin guanine dinucleotide (Mo-MGD) cofactor
1034809.SLUG_07550	moaA	340	Catalyzes the cyclization of GTP to (8S)-3',8-cyclo-7,8- dihydroguanosine 5'-triphosphate
1034809.SLUG_07560	CCB53208.1	116	annotation not available
1034809.SLUG_07570	CCB53209.1	401	annotation not available
1034809.SLUG_07580	CCB53210.1	144	annotation not available
1034809.SLUG_07590	CCB53211.1	258	annotation not available
1034809.SLUG_07600	fmhB	416	annotation not available
1034809.SLUG_07610	CCB53213.1	1061	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family
1034809.SLUG_07620	CCB53214.1	105	annotation not available
1034809.SLUG_07630	CCB53215.1	303	annotation not available
1034809.SLUG_07640	CCB53216.1	294	annotation not available
1034809.SLUG_07650	topB	711	Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA- (5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in t [...] 
1034809.SLUG_07660	CCB53218.1	444	annotation not available
1034809.SLUG_07670	CCB53219.1	131	annotation not available
1034809.SLUG_07680	rpsJ	86	Involved in the binding of tRNA to the ribosomes. 
1034809.SLUG_07690	rplC	220	One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit
1034809.SLUG_07700	rplD	207	Forms part of the polypeptide exit tunnel. 
1034809.SLUG_07710	rplW	91	One of the early assembly proteins it binds 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome. Forms the main docking site for trigger factor binding to the ribosome
1034809.SLUG_07720	rplB	277	One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity; this is somewhat controversial. Makes several contacts with the 16S rRNA in the 70S ribosome. 
1034809.SLUG_07730	rpsS	92	Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA
1034809.SLUG_07740	rplV	117	The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome
1034809.SLUG_07750	rpsC	217	Binds the lower part of the 30S subunit head. Binds mRNA in the 70S ribosome, positioning it for translation
1034809.SLUG_07760	rplP	144	Binds 23S rRNA and is also seen to make contacts with the A and possibly P site tRNAs
1034809.SLUG_07770	rpmC	69	Belongs to the universal ribosomal protein uL29 family. 
1034809.SLUG_07780	rpsQ	87	One of the primary rRNA binding proteins, it binds specifically to the 5'-end of 16S ribosomal RNA
1034809.SLUG_07790	rplN	122	Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome
1034809.SLUG_07800	rplX	105	One of the proteins that surrounds the polypeptide exit tunnel on the outside of the subunit
1034809.SLUG_07810	rplE	179	This is 1 of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance. In the 70S ribosome it contacts protein S13 of the 30S subunit (bridge B1b), connecting the 2 subunits; this bridge is implicated in subunit movement. Contacts the P site tRNA; the 5S rRNA and some of its associated proteins might help stabilize positioning of ribosome-bound tRNAs
1034809.SLUG_07820	rpsN	61	Binds 16S rRNA, required for the assembly of 30S particles and may also be responsible for determining the conformation of the 16S rRNA at the A site
1034809.SLUG_07830	rpsH	132	One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit
1034809.SLUG_07840	rplF	178	This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7/L12 stalk, and near the tRNA binding site of the peptidyltransferase center
1034809.SLUG_07850	rplR	120	This is one of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance
1034809.SLUG_07860	rpsE	166	Located at the back of the 30S subunit body where it stabilizes the conformation of the head with respect to the body. 
1034809.SLUG_07870	rpmD	59	annotation not available
1034809.SLUG_07880	rplO	146	Binds to the 23S rRNA
1034809.SLUG_07890	secY	430	The central subunit of the protein translocation channel SecYEG. Consists of two halves formed by TMs 1-5 and 6-10. These two domains form a lateral gate at the front which open onto the bilayer between TMs 2 and 7, and are clamped together by SecE at the back. The channel is closed by both a pore ring composed of hydrophobic SecY resides and a short helix (helix 2A) on the extracellular side of the membrane which forms a plug. The plug probably moves laterally to allow the channel to open. The ring and the pore may move independently. 
1034809.SLUG_07900	adk	216	Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism
1034809.SLUG_07910	infA	72	One of the essential components for the initiation of protein synthesis. Stabilizes the binding of IF-2 and IF-3 on the 30S subunit to which N-formylmethionyl-tRNA(fMet) subsequently binds. Helps modulate mRNA selection, yielding the 30S pre-initiation complex (PIC). Upon addition of the 50S ribosomal subunit IF-1, IF-2 and IF-3 are released leaving the mature 70S translation initiation complex. 
1034809.SLUG_07920	rpmJ	37	Belongs to the bacterial ribosomal protein bL36 family. 
1034809.SLUG_07930	rpsM	121	Located at the top of the head of the 30S subunit, it contacts several helices of the 16S rRNA. In the 70S ribosome it contacts the 23S rRNA (bridge B1a) and protein L5 of the 50S subunit (bridge B1b), connecting the 2 subunits; these bridges are implicated in subunit movement. Contacts the tRNAs in the A and P-sites. 
1034809.SLUG_07940	rpsK	129	Located on the platform of the 30S subunit, it bridges several disparate RNA helices of the 16S rRNA. Forms part of the Shine- Dalgarno cleft in the 70S ribosome
1034809.SLUG_07950	rpoA	314	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. 
1034809.SLUG_07960	rplQ	122	annotation not available
1034809.SLUG_07970	ecfA	269	ATP-binding (A) component of a common energy-coupling factor (ECF) ABC-transporter complex. Unlike classic ABC transporters this ECF transporter provides the energy necessary to transport a number of different substrates
1034809.SLUG_07980	CCB53252.1	285	ATP-binding (A) component of a common energy-coupling factor (ECF) ABC-transporter complex. Unlike classic ABC transporters this ECF transporter provides the energy necessary to transport a number of different substrates
1034809.SLUG_07990	ecfT	268	Transmembrane (T) component of an energy-coupling factor (ECF) ABC-transporter complex. Unlike classic ABC transporters this ECF transporter provides the energy necessary to transport a number of different substrates
1034809.SLUG_08000	truA	267	Formation of pseudouridine at positions 38, 39 and 40 in the anticodon stem and loop of transfer RNAs
1034809.SLUG_08010	rplM	145	This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly. 
1034809.SLUG_08020	rpsI	130	Belongs to the universal ribosomal protein uS9 family. 
1034809.SLUG_08030	CCB53257.1	169	annotation not available
1034809.SLUG_08040	CCB53258.1	79	annotation not available
1034809.SLUG_08050	CCB53259.1	296	annotation not available
1034809.SLUG_08060	CCB53260.1	254	annotation not available
1034809.SLUG_08070	CCB53261.1	237	annotation not available
1034809.SLUG_08080	CCB53262.1	513	annotation not available
1034809.SLUG_08090	CCB53263.1	196	annotation not available
1034809.SLUG_08100	CCB53264.1	2374	annotation not available
1034809.SLUG_08110	CCB53265.1	124	annotation not available
1034809.SLUG_08120	CCB53266.1	1230	annotation not available
1034809.SLUG_08130	CCB53267.1	2937	annotation not available
1034809.SLUG_08140	CCB53268.1	228	annotation not available
1034809.SLUG_08150	CCB53269.1	579	annotation not available
1034809.SLUG_08160	CCB53270.1	217	Belongs to the P-Pant transferase superfamily. 
1034809.SLUG_08170	CCB53271.1	219	Antibiotic biosynthesis monooxygenase; Might be involved in the modification of a peptide antibiotic
1034809.SLUG_08180	cobB	244	NAD-dependent protein deacetylase which modulates the activities of several enzymes which are inactive in their acetylated form
1034809.SLUG_08190	lacR	251	annotation not available
1034809.SLUG_08200	lacA	142	annotation not available
1034809.SLUG_08210	lacB	171	annotation not available
1034809.SLUG_08220	lacC	311	Belongs to the carbohydrate kinase PfkB family. LacC subfamily
1034809.SLUG_08230	lacD	324	Belongs to the aldolase LacD family
1034809.SLUG_08240	lacF	103	annotation not available
1034809.SLUG_08260	ccrB	460	Site-specific recombinase; Prophage ?SL1
1034809.SLUG_08270	CCB53281.1	182	annotation not available
1034809.SLUG_08280	CCB53282.1	169	Homology to a phiSauS-IPLA88 protein
1034809.SLUG_08290	CCB53283.1	154	annotation not available
1034809.SLUG_08300	CCB53284.1	107	annotation not available
1034809.SLUG_08310	CCB53285.1	97	annotation not available
1034809.SLUG_08320	CCB53286.1	293	annotation not available
1034809.SLUG_08330	CCB53287.1	164	annotation not available
1034809.SLUG_08340	CCB53288.1	53	Possible N-terminus of larger CDS
1034809.SLUG_08350	CCB53289.1	87	annotation not available
1034809.SLUG_08360	CCB53290.1	251	annotation not available
1034809.SLUG_08370	CCB53291.1	47	annotation not available
1034809.SLUG_08380	CCB53292.1	200	annotation not available
1034809.SLUG_08390	CCB53293.1	37	annotation not available
1034809.SLUG_08400	CCB53294.1	59	annotation not available
1034809.SLUG_08410	CCB53296.1	161	annotation not available
1034809.SLUG_08420	CCB53297.1	224	annotation not available
1034809.SLUG_08430	CCB53298.1	138	annotation not available
1034809.SLUG_08440	CCB53300.1	225	annotation not available
1034809.SLUG_08450	CCB53301.1	267	annotation not available
1034809.SLUG_08460	CCB53303.1	261	annotation not available
1034809.SLUG_08470	CCB53304.1	54	annotation not available
1034809.SLUG_08480	CCB53305.1	80	annotation not available
1034809.SLUG_08490	CCB53306.1	135	annotation not available
1034809.SLUG_08500	CCB53307.1	104	annotation not available
1034809.SLUG_08510	CCB53308.1	66	Possible N-terminus of a larger CDS
1034809.SLUG_08520	CCB53309.1	40	Possible C-terminus of a larger CDS
1034809.SLUG_08530	CCB53310.1	123	annotation not available
1034809.SLUG_08540	CCB53311.1	93	annotation not available
1034809.SLUG_08550	CCB53312.1	53	annotation not available
1034809.SLUG_08560	CCB53313.1	141	annotation not available
1034809.SLUG_08570	CCB53314.1	50	annotation not available
1034809.SLUG_08580	CCB53315.1	55	annotation not available
1034809.SLUG_08590	CCB53316.1	47	annotation not available
1034809.SLUG_08600	CCB53317.1	133	annotation not available
1034809.SLUG_08610	CCB53318.1	146	Might be the small subunit of the terminase
1034809.SLUG_08620	CCB53319.1	426	annotation not available
1034809.SLUG_08630	CCB53320.1	509	annotation not available
1034809.SLUG_08640	CCB53321.1	316	annotation not available
1034809.SLUG_08650	CCB53322.1	50	annotation not available
1034809.SLUG_08660	CCB53323.1	202	annotation not available
1034809.SLUG_08670	CCB53324.1	306	annotation not available
1034809.SLUG_08680	CCB53326.1	89	annotation not available
1034809.SLUG_08690	CCB53327.1	109	annotation not available
1034809.SLUG_08700	CCB53328.1	100	annotation not available
1034809.SLUG_08710	CCB53329.1	115	annotation not available
1034809.SLUG_08720	CCB53330.1	129	annotation not available
1034809.SLUG_08730	CCB53331.1	184	annotation not available
1034809.SLUG_08740	CCB53332.1	119	annotation not available
1034809.SLUG_08750	CCB53333.1	114	annotation not available
1034809.SLUG_08760	CCB53334.1	1177	annotation not available
1034809.SLUG_08770	CCB53335.1	319	annotation not available
1034809.SLUG_08780	CCB53336.1	411	annotation not available
1034809.SLUG_08790	CCB53337.1	624	annotation not available
1034809.SLUG_08800	CCB53338.1	385	annotation not available
1034809.SLUG_08810	CCB53339.1	140	annotation not available
1034809.SLUG_08820	CCB53340.1	132	annotation not available
1034809.SLUG_08830	CCB53341.1	629	annotation not available
1034809.SLUG_08840	CCB53342.1	917	annotation not available
1034809.SLUG_08850	Holin	90	annotation not available
1034809.SLUG_08860	CCB53344.1	469	annotation not available
1034809.SLUG_08870	CCB53345.1	91	annotation not available
1034809.SLUG_08880	CCB53347.1	208	annotation not available
1034809.SLUG_08890	lacG	469	Belongs to the glycosyl hydrolase 1 family. 
1034809.SLUG_08900	CCB53350.1	285	annotation not available
1034809.SLUG_08910	CCB53351.1	333	annotation not available
1034809.SLUG_08920	CCB53353.1	335	Belongs to the zinc-containing alcohol dehydrogenase family. Quinone oxidoreductase subfamily. 
1034809.SLUG_08930	amaP	178	annotation not available
1034809.SLUG_08940	CCB53355.1	79	annotation not available
1034809.SLUG_08950	asp23	169	annotation not available
1034809.SLUG_08960	CCB53358.1	586	annotation not available
1034809.SLUG_08970	CCB53360.1	362	annotation not available
1034809.SLUG_08980	CCB53361.1	331	annotation not available
1034809.SLUG_08990	CCB53362.1	342	Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily
1034809.SLUG_09000	fecD	321	Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily
1034809.SLUG_09010	CCB53364.1	456	annotation not available
1034809.SLUG_09020	CCB53365.1	86	annotation not available
1034809.SLUG_09030	CCB53366.1	171	annotation not available
1034809.SLUG_09050	SLUG_09050	228	Channel protein, hemolysin III family; CDS contains a frameshift after residue 205
1034809.SLUG_09060	CCB53369.1	443	annotation not available
1034809.SLUG_09070	sepA	155	Involved in multidrug efflux. 
1034809.SLUG_09080	CCB53371.1	478	Belongs to the major facilitator superfamily. 
1034809.SLUG_09090	CCB53372.1	354	Binds and transfers iron-sulfur (Fe-S) clusters to target apoproteins. Can hydrolyze ATP
1034809.SLUG_09100	dacA	268	Catalyzes the condensation of 2 ATP molecules into cyclic di- AMP (c-di-AMP), a second messenger used to regulate differing processes in different bacteria
1034809.SLUG_09110	CCB53374.1	310	annotation not available
1034809.SLUG_09120	glmM	451	Catalyzes the conversion of glucosamine-6-phosphate to glucosamine-1-phosphate
1034809.SLUG_09130	glmS	601	Catalyzes the first step in hexosamine metabolism, converting fructose-6P into glucosamine-6P using glutamine as a nitrogen source. 
1034809.SLUG_09140	CCB53377.1	283	annotation not available
1034809.SLUG_09160	SLUG_09160	357	annotation not available
1034809.SLUG_09170	Metallophosphoesterase	243	annotation not available
1034809.SLUG_09180	czrB	322	annotation not available
1034809.SLUG_09190	czrA	107	annotation not available
1034809.SLUG_09200	CCB53383.1	219	annotation not available
1034809.SLUG_09210	CCB53384.1	313	Belongs to the mannose-6-phosphate isomerase type 1 family. 
1034809.SLUG_09220	CCB53385.1	77	annotation not available
1034809.SLUG_09230	CCB53386.1	458	annotation not available
1034809.SLUG_09240	CCB53387.1	136	annotation not available
1034809.SLUG_09250	CCB53388.1	148	Belongs to the Dps family
1034809.SLUG_09260	deoD2	236	annotation not available
1034809.SLUG_09270	deoC1	219	Catalyzes a reversible aldol reaction between acetaldehyde and D-glyceraldehyde 3-phosphate to generate 2-deoxy-D-ribose 5- phosphate
1034809.SLUG_09280	pyn	433	annotation not available
1034809.SLUG_09290	drm	395	Phosphotransfer between the C1 and C5 carbon atoms of pentose
1034809.SLUG_09300	CCB53395.1	116	annotation not available
1034809.SLUG_09310	feoB	664	Probable transporter of a GTP-driven Fe(2+) uptake system. 
1034809.SLUG_09320	luxS	156	Involved in the synthesis of autoinducer 2 (AI-2) which is secreted by bacteria and is used to communicate both the cell density and the metabolic potential of the environment. The regulation of gene expression in response to changes in cell density is called quorum sensing. Catalyzes the transformation of S-ribosylhomocysteine (RHC) to homocysteine (HC) and 4,5-dihydroxy-2,3-pentadione (DPD). 
1034809.SLUG_09330	CCB53398.1	394	Belongs to the peptidase M20A family. 
1034809.SLUG_09340	CCB53399.1	396	annotation not available
1034809.SLUG_09350	CCB53400.1	38	annotation not available
1034809.SLUG_09360	CCB53401.1	221	annotation not available
1034809.SLUG_09370	coaW	266	Catalyzes the phosphorylation of pantothenate (Pan), the first step in CoA biosynthesis
1034809.SLUG_09380	CCB53403.1	286	annotation not available
1034809.SLUG_09390	rpoE	173	Participates in both the initiation and recycling phases of transcription. In the presence of the delta subunit, RNAP displays an increased specificity of transcription, a decreased affinity for nucleic acids, and an increased efficiency of RNA synthesis because of enhanced recycling
1034809.SLUG_09400	pyrG	535	Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen. Regulates intracellular CTP levels through interactions with the four ribonucleotide triphosphates
1034809.SLUG_09410	CCB53406.1	173	annotation not available
1034809.SLUG_09420	CCB53407.1	285	annotation not available
1034809.SLUG_09430	murA2	422	Cell wall formation. Adds enolpyruvyl to UDP-N- acetylglucosamine
1034809.SLUG_09440	CCB53409.1	110	annotation not available
1034809.SLUG_09450	CCB53410.1	475	Belongs to the aldehyde dehydrogenase family. 
1034809.SLUG_09460	rho	438	Facilitates transcription termination by a mechanism that involves Rho binding to the nascent RNA, activation of Rho's RNA- dependent ATPase activity, and release of the mRNA from the DNA template
1034809.SLUG_09470	rpmE	85	annotation not available
1034809.SLUG_09480	tdk	199	annotation not available
1034809.SLUG_09490	prfA	358	Peptide chain release factor 1 directs the termination of translation in response to the peptide chain termination codons UAG and UAA
1034809.SLUG_09500	prmC	279	Methylates the class 1 translation termination release factors RF1/PrfA and RF2/PrfB on the glutamine residue of the universally conserved GGQ motif
1034809.SLUG_09510	CCB53417.1	344	Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine
1034809.SLUG_09520	CCB53418.1	140	Belongs to the low molecular weight phosphotyrosine protein phosphatase family
1034809.SLUG_09530	CCB53419.1	174	Belongs to the UPF0340 family
1034809.SLUG_09540	glyA	412	Catalyzes the reversible interconversion of serine and glycine with tetrahydrofolate (THF) serving as the one-carbon carrier. This reaction serves as the major source of one-carbon groups required for the biosynthesis of purines, thymidylate, methionine, and other important biomolecules. Also exhibits THF-independent aldolase activity toward beta-hydroxyamino acids, producing glycine and aldehydes, via a retro-aldol mechanism
